Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2015-09-02,"U.S. Open 2015: Two down, five to go for Serena Williams",Image of 3-year-old who washed ashore underscores Europe's refugee crisis,Polar bears lay siege to researchers in the Arctic Sea,Segun Odegbami: I want to be FIFA president,"Making refugees welcome: Citizens of Germany, Iceland show the way",Blink and you miss it! How to photograph a Formula One car,"Paris apartment fire kills 8, including 2 children",Liverpool: How well does Ian Rush know Ian Rush?,Tokyo 2020 Olympic logo scrapped amid plagiarism controversy,"Budapest train station opens for limited travel, migrants rush in"
2015-09-03,U.S. Open 2015: Jack Sock collapses in heat while Andy Murray escapes,European migrant crisis at a glance -- from Turkey to the United Kingdom,Shane Warne warns Nick Kyrgios: 'You're testing our patience',Bayern Munich donate $1.1 million to help refugees,"'Certainty' that Reunion Island debris is from MH370, French official says",Syrian toddler's dad: 'Everything I was dreaming of is gone','We escaped from war and came to the big prison',Steve White tackles sailing's 'impossible voyage',De Gea or Pedro? The EPL's most talked about transfer revealed,Europe's migrant crisis: Chaos as trains are stopped in Hungary
2015-09-04,U.S. Open 2015: Williams sisters to meet again?,World Cup qualifying: Hong Kong defies logic to draw with China,4 plead guilty in London's Hatton Garden jewel heist,Sammy Jo Bell: Female jockey poised to reign in Sport of Kings,Fast track to fatherhood: How to raise a Formula One baby,European migrant crisis: A country-by-country glance,Drowned toddler Aylan Kurdi laid to rest in Syrian city he fled,"Europeans distraught, divided as migrant crisis worsens",,
2015-09-05,U.S. Open 2015: Eugenie Bouchard slips in locker room,Real Madrid offers $1.1 million to aid refugees in Spain,Crew member dies during round-the-world yacht race,F1: Lewis Hamilton claims pole at Italian GP but Ferrari keeps pace,U.S. Open 2015: Rafael Nadal exits Flushing Meadows after humbling defeat,European migrant crisis: A country-by-country glance,Thousands of jubilant migrants arrive in Austria from Hungary,,,
2015-09-06,Euro 2016: Iceland book finals spot as Dutch look frozen out,US Open 2015: Williams sisters to meet as Bouchard pulls out,"Car plows into crowd at Spanish rally, killing 6",Jen Welter on coaching in the NFL: 'Now it's possible',Italian Grand Prix: Lewis Hamilton extends title lead after tire probe,European migrant crisis: A country-by-country glance,"European migrant crisis: Austria, Germany near tipping point",,,
2015-09-07,"Police: Texas high school football players 'targeted,' 'blindsided' game official",Today's refugees follow path of Hungarians who fled Soviets in 1956,'Bad Boys FC' recreates football's most infamous moments,Moonlight rescues as migrants paddle from Turkey to Greece,"Migrant crisis: More troubles in Hungary as Austria, Germany near tipping point",,,,,
2015-09-08,Amanda Knox decision explained by Italian court,U.S. Open 2015: Serena beats Venus in battle of Williams sisters,Queen Elizabeth II: The platinum monarch?,Frustrated migrants break through police lines in Hungary,Merkel calls for migrant quotas for EU states to combat crisis,Cameron faces questions over UK drone strike in Syria,U.S Open 2015: Andy Murray crashes out to South African Kevin Anderson,,,
2015-09-09,U.S. Open 2015: 'Tired' Petra Kvitova upset by Flavia Pennetta,Prince Ali announces new FIFA presidency bid,Lofoten Links: Coolest golf club with hottest light show on earth,Migrant crisis: EU nations face plans for binding quotas,Evian Championship: When is a grand slam not a grand slam?,Queen Elizabeth II becomes Britain's longest-reigning monarch,"Elizabeth and Victoria: Two queens, two worlds",Violence mars Turkey anti-terror rallies amid growing tensions,Hannah Cockroft: Wheelchair racing champ happy to be called 'crazy',"British 12-year-old smarter than Einstein, Hawking"
2015-09-10,U.S. Open 2015: Rain delays Serena's grand slam quest,"For Syrian in UK, the road ahead is still daunting",Evian Championship 2015: World No. 1 Inbee Park makes stuttering start,"Finding little welcome in Europe, refugees ask unanswerable questions",Donald Trump: Republican frontrunner lampooned in Mexican TV soccer ad,U.S. Open 2015: Serena Williams standing on the brink of history,Migrant crisis: Danish police won't stop refugees heading to Sweden,,,
2015-09-11,U.S. Open 2015: Serena Williams' grand slam hopes ended by Vinci,Evian Championship 2015: Mi Hyang Lee eyes first major title,U.S. Open 2015: Serena Williams' father 'not surprised' by James Blake arrest,Is this the last stand for Russia's beleaguered opposition?,Video shows Hungarian police lobbing food into migrant crowd,Hungarian camerawoman apologizes for kicking migrants,David De Gea: Goalkeeper signs new contract with Manchester United,Benedict Cumberbatch backs charity song to raise funds for Syrian refugees,No umbrellas required for MotoGP's real 'Grid Girls',Australian women's soccer team boycott sell-out U.S. tour over pay
2015-09-12,"U.S. Open 2015: Flavia Pennetta wins title, will retire","U.S. Open 2015: Flavia Pennetta wins title, will retire",Evian Championship: Lee leads as Ko steps up bid for golfing history,Spanish police find remains in search for Arizona woman,English Premier League: Chelsea slips 11 points adrift of leader Man City,Cristiano Ronaldo hits five to surpass Raul as Real's top scorer in La Liga,Stowaway's body found in plane's landing gear at Dutch airport,Jeremy Corbyn elected leader of UK opposition Labour Party,Marchers show support for refugees in solidarity events across Europe,
2015-09-13,San Marino MotoGP: Marquez wins chaotic race as Rossi extends title lead,Evian Championship: Lydia Ko makes history after stunning final round of 63,Refugee crisis: How Germany rose to the occasion,Bletchley code-breaker: I wanted to shout 'War's over!' but couldn't,"'Our boat is nowhere near full,' German volunteers tell refugees",Germany's road to redemption,Surviving desert marathons: 'Imagine the Devil holding a blowtorch in your face',,,
2015-09-14,"FIFA: 'Additional charges' likely, says U.S. Attorney General",U.S. Open 2015: '300' movie helped Novak Djokovic beat Roger Federer,Football Cares: 'Sports eBay' with a cause,Our terrifying swim: Two Syrians' journey through dark waters to Greece,McLaren wants to keep Jenson Button - and Honda engines - for 2016,U.S. Open 2015: Novak Djokovic beats Roger Federer for 10th major,,,,
2015-09-15,"Champions League: Manchester teams stunned, Real Madrid and PSG cruise",Singapore Grand Prix: F1 race will go ahead despite haze blanket,"Uprooted tree reveals a violent death from 1,000 years ago",Scott Brash: Showjumper pockets $1.6m after claiming historic treble,Agatha Christie at 125:  A thoroughly modern 'Marple',,,,,
2015-09-16,"Croatia opens borders, welcomes sudden stream of refugees",Champions League: Roma wonder goal leaves Lionel Messi in the shade,2024 Olympics: Five cities in the running to host Games,"Russian prankster claims he called Elton John, impersonating Putin",,,,,,
2015-09-17,Police kill Iraqi man in Berlin after knife attack on street,FIFA Secretary General Jerome Valcke suspended amid ticket scandal,FIFA Secretary General Jerome Valcke suspended amid ticket scandal,Kicked Syrian migrant offered football role in Madrid,Children suffering: A true picture of Europe's migrant crisis,A same-sex wedding sparks a political furor in Spain,Solheim Cup: Team USA told to cut the razzmatazz,Rugby World Cup 2015: Five things you need to know,,
2015-09-18,Rugby World Cup 2015: England beats Fiji in tournament opener,Football transfers: Is the transfer fee about to be consigned to history?,Elton John 'happy to be pranked' if it sheds light on gay rights,Madeleine McCann: UK has spent nearly $16 million in search for missing girl,,,,,,
2015-09-19,English Premier League: Controversy as Chelsea beats nine-man Arsenal,Rugby World Cup 2015: Japan stuns South Africa,Singapore Grand Prix: Ferrari's Sebastian Vettel wins pole,Tiger Woods targets 2016 return after 'successful' back surgery,Europe's migrant crisis: A Kosovan refugee remembers,,,,,
2015-09-20,BMW Championship: Jason Day tops world rankings after six-shot win,Solheim Cup: U.S wins amid tears and controversy,Davis Cup 2015: Andy Murray-inspired GB reach Davis Cup final,Singapore Grand Prix: Sebastian Vettel lights up F1 title race,"Greek elections: Tsipras declares victory, thanks voters for 'clear mandate'",,,,,
2015-09-21,Solheim Cup: Suzann Pettersen apologizes for 'bull***t' behavior',Diego Costa: Chelsea striker charged with 'violent conduct',"In video targeting hate speech, Polish teen turns into Hitler",Meet the female motocross rider who wants to represent Iran,Police scrambled after three sighted trying to climb Eiffel Tower,Cristiano Ronaldo: Real Madrid gives Syrian migrant's son special moment,,,,
2015-09-22,Diego Costa: Chelsea striker banned for three matches,Albee Layer: Surfer delights in 'artificial wave' victory,,,,,,,,
2015-09-23,Huge mosque opens in Moscow,I cycled for 2 years through 44 African countries. This is what I learned,Rugby World Cup 2015: Japan brought crashing down to earth by Scotland,France to sell Egypt two warships previously contracted to Russia,Scots have 421 words for snow -- that's more than the Inuit,Dan Carter: All Blacks star seeks holy grail at Rugby World Cup,Jorge Mendes: The man behind soccer's 'craziest deals',EU leaders pledge more money for people fleeing Syria,Robert Lewandowski: Bayern star's five-goal haul shatters records,
2015-09-24,Rugby World Cup 2015: All Blacks battle to dominate brave Namibia,"Putin has called Elton John after prank, Kremlin says",Cheating husband dumped ... with huge billboard sign,"Teenager killed by train at Eurotunnel terminal in Calais, France","Namibian dentists, farmers and traders get ready to face All Blacks",Russia digs up Nicholas II in bid to identify czar's missing children,Europe seeks unified response to unprecedented migration crisis,,,
2015-09-25,"FIFA President Sepp Blatter is focus of Swiss probe, officials say",Giant ovens and cake: The secretive world where McLaren F1 cars are made,Rugby World Cup 2015: CNN Sport explains -- rugby,,,,,,,
2015-09-26,Robert Lewandowski: Bayern Munich centurion breaks another record,Lionel Messi: Barcelona star suffers ligament damage,Ukraine bans  Russian airlines from flying into the country,F1 Japanese GP: Nico Rosberg secures pole after Daniil Kvyat crash,Neymar assets frozen by Brazilian court over alleged tax evasion,,,,,
2015-09-27,Catalonia elections set separatists on collision course,Tour Championship: Triple joy for all-conquering Jordan Spieth,Rugby World Cup 2015:  England faces exit after Welsh defeat,Japanese GP: Lewis Hamilton matches Ayrton Senna with dominant win,,,,,,
2015-09-28,"Sepp Blatter: 'I've done nothing illegal,' says FIFA president",MotoGP: Jorge Lorenzo gains ground on Valentino Rossi,Jordan Spieth: Golfer breaks record for most prize money earned in a season,Kids behaving badly? Here's the Dutch solution,A first: Man faces war crimes charges for destroying Timbuktu monuments,,,,,
2015-09-29,Champions League: Luis Suarez saves Barcelona's blushes,Grosjean to drive for Haas F1 in American team's debut season,Jason Day: Vertigo pushed golfer to dizzying heights,Sinn Fein leader won't be prosecuted in Belfast woman's 1972 killing,Venus Williams: American claims 700th career win,World Cup 2018: Palestinians and Saudi Arabia at loggerheads over key game,Jack Warner: Disgraced former official banned for life by FIFA,AS Roma: President James Pallotta's blueprint for Serie A success,Prix de l'Arc de Triomphe: Longchamp bets on futuristic $145M grandstand,Trial of two alleged Russian soldiers captured in eastern Ukraine begins
2015-09-30,Cristiano Ronaldo scores 500th career goal and draws level with Raul,Wuhan Open: Simona Halep shocked by Johanna Konta,Borna Coric: Croatian 'pit bull' tipped for grand slam glory,Migrant found dead inside Eurotunnel as crisis escalates,Iago Aspas: Liverpool reject leads Celta Vigo's charge,,,,,
2015-10-01,Rugby World Cup: Wales win has Prince William smiling,"Gunfire, tear gas and mortal danger: Afghan soldier's journey to Europe",Jenson Button: Briton to stay with McLaren for 2016,Rugby World Cup 2015: The men behind Japan's shock success,"Lights, camera, horse! LA breaks with convention for showjumping spectacular",Serena Williams: World No.1 out of China Open and WTA finals,,,,
2015-10-02,Prix de l'Arc de Triomphe: Treble-chasing Treve sends hearts aflutter,Britain's youngest terror mastermind jailed for life for Anzac Day plot,Bayern Munich vs. Dortmund: When Pep Guardiola met Thomas Tuchel,,,,,,,
2015-10-03,"Rugby World Cup 2015: Foley, Australia knock out host England","Barcelona, without Lionel Messi, loses at Sevilla",Five-star Sergio Aguero sinks Newcastle in Premier League,Venus Williams on verge of qualifying for WTA Finals,Eurotunnel services briefly suspended after 'intrusion' of migrants,,,,,
2015-10-04,Brendan Rodgers: Liverpool's U.S. owners sack manager,Bayern routs arch rival Dortmund to keep perfect record,Prix de l'Arc de Triomphe 2015: Frankie Dettori's Golden Horn denies Treve,Downpours flood parts of French Riviera; at least 20 dead,,,,,,
2015-10-05,5 questions as Pope Francis summons bishops for synod on 'family',NFL: Home comforts help New York Jets on transatlantic cruise,Sailing Yacht A: Is this the ultimate super yacht?,Soa 'The Hulk' Palelei: 'Cage' fighter banned from kids hospital,,,,,,
2015-10-06,Rio 2016: City grapples with wave of crime on beaches as Olympics near,Rafael Nadal toils against wildcard in first ATP match since shock U.S. Open exit,Brendan Rodgers: A successful failure at Liverpool?,Rugby World Cup 2015: Japan fans set new world record for rugby TV audience,"Scientists from Japan, Canada win Nobel Prize in Physics",FIFA presidential candidate Chung Mong-joon faces suspension,,,,
2015-10-07,Rugby World Cup: Habana equals Lomu record as Springboks thrash USA,FIFA's Sepp Blatter facing suspension?,FIFA: Sepp Blatter could face $100m lawsuit,Chris Jackson: Two-time New Zealand Player of the Year reveals decades-long battle with mental illness,Ellen Hoog: Hockey's pinup girl ready to shine at Rio Olympics,'Frozen:' Elsa-inspired equestrian routine goes viral,Pele: The footballer who seduced Andy Warhol,Top tennis stars choke on 'hazardous' smog at China Open in Beijing,Nobel Prize for chemistry awarded to 3 scientists for DNA repair studies,EU military operation against human smugglers shifts to 'active' phase
2015-10-08,"Jurgen Klopp: he's eccentric, popular and successful -- but can he revive Liverpool?","FIFA: Without Sepp Blatter, who is running football?",World Cup qualifying: Japan beat war-hit Syria,"FIFA's top bosses, including Sepp Blatter, suspended",Putin celebrates 63rd birthday with ice hockey game and seven goals,,,,,
2015-10-09,Shock and awe? Russia's media war,U.N. Security Council authorizes military action against human traffickers off Libya,How soccer clubs build global empires,"Lewis Hamilton 'driving like a god,' says F1 legend Niki Lauda",FIFA president Sepp Blatter to appeal suspension,UK's first Ebola patient back in hospital in serious condition after complication,,,,
2015-10-10,Rugby World Cup 2015: Cherry Blossoms in the shade after Scots win,Russian Grand Prix: Carlos Sainz Jr. in high speed crash in practice,China Open 2015: Rafael Nadal avenges U.S. Open defeat,Deadly month in high school football,,,,,,
2015-10-11,Rugby World Cup 2015: Japan ends with a flourish to secure third win,China Open 2015: Novak Djokovic makes light work of Rafael Nadal,Russia Grand Prix 2015: Lewis Hamilton claims ninth win of season,Presidents Cup 2015: United States edges Internationals in last-day thriller,,,,,,
2015-10-12,Rugby World Cup 2015: The All Blacks and the haka,Julian Assange: UK police drop 24-hour embassy guard,Lewis Hamilton: Did F1 star really spray Vladimir Putin with champagne?,The $725m ranch bigger than New York and Los Angeles combined,,,,,,
2015-10-13,Roger Federer stunned by Spanish qualifier in Shanghai,Euro 2016: Albania's big dream comes true -- with a little help from PM,"MH17: Ukraine had reason to close airspace before crash, investigators say",MH17: A mother's plea for truth and justice,Swedish 'Bearded Villains' mistaken for ISIS cell,,,,,
2015-10-14,Pope Francis meets Chilean miners five years after rescue,"Don't delay FIFA elections, says candidate Prince Ali","9 months after discharge, relapsed UK Ebola patient 'critically ill'",Euro 2016: Netherlands nightmare as reality sets in,$1.5M 'Chase Triple Crown' to honor legendary racer Kauto Star,Mark Webber: 'I went into the car fearless' -- Aussie reveals F1's risks and rivalries,,,,
2015-10-15,"Migrants meet polar bear -- in the back of a dark, cramped truck",Eugenie Bouchard: Tennis star sues USTA after concussion at U.S. Open,UEFA backs its president Michel Platini after FIFA suspension,"Two Libyans identified as Lockerbie bombing suspects, Scotland, U.S. say",Boris Johnson: British politician floors child in rugby game,Pitching into plant pots: Welcome to the world of urban golf,Ajax: Dutch club opens 'School of the Future',"Julian Assange is denied UK hospital visit, Ecuador says",,
2015-10-16,Police: 'Property' recovered in London's Hatton Garden jewel heist,Hungary closes border with Croatia to stem migrant flow,Get that tank off my lawn: Impulse buy forces house move,Lionel Messi: Barcelona limp through injury crisis,Billie Jean King: Long way to go in Battle of the Sexes,Rugby World Cup: Tattoos and 'middle-age crisis' - All Blacks fans on tour,,,,
2015-10-17,Rugby World Cup 2015: New Zealand thrashes France in quarterfinal,Cristiano Ronaldo: Real Madrid striker becomes club's leading scorer,Fascinating Rock wins Champion Stakes,Jurgen Klopp says Liverpool not 'cool enough' to win at Tottenham,Shanghai Masters: Novak Djokovic thrashes Andy Murray in semifinals,Spain: 81 arrested in child pornography crackdown,Photograph believed to show 'Titanic Iceberg' up for auction,,,
2015-10-18,Australian MotoGP: Marc Marquez wins Phillip Island thriller; title race closes up,Rugby World Cup 2015: Pumas and Wallabies to meet in semifinals,Shanghai Masters: Novak Djokovic cruises to ninth title of 2015,"German pro-refugee candidate stabbed, wins election",Stop swooning over Putin,,,,,
2015-10-19,Champions League: Can anyone stop Bayern Munich?,"Relapsed Ebola patient's condition improves, says UK hospital",Norwegian hunter shoots two moose -- then realizes they're in a zoo,Gary Neville: Soccer star 'to save hundreds of lives' by helping homeless,Novak Djokovic: The $16 million man,Are Big Ben's bongs about to fall silent?,Thousands of migrants caught in European bottleneck,Man dies suddenly after becoming 'agitated' on flight,Arctic 'Doomsday Vault' opens to retrieve vital seeds for Syria,
2015-10-20,Champions League: Arsenal upset Bayern Munich to keep European dreams alive,"Nigel, Vernon, Rhonda: UK, Ireland unveil new list of storm names",Disbelief after ex-U.N. official Jacqueline Sutton found dead in Turkish airport,FIFA: Presidential election confirmed for February 26,Training the brain to push the body beyond its limits,"Decades after U.S. nuclear bombs fell in Spanish countryside, cleanup goes on",Cold weather brings new misery for migrants,,,
2015-10-21,Champions League: PSG and Real Madrid fail to cash in,"UK Ebola nurse Cafferkey suffering from meningitis, not relapse","Why did 1D break the hearts of 12,500 fans?","U.S. F/A-18 crashes in UK, pilot killed","'Agitated' man who died on flight had swallowed packs of cocaine, police say",Arkle Ale: Cheltenham Racecourse honors legendary horse with new beer,Andy Murray and Jamie Murray: From Brawlers to Bravehearts -- by Mum Judy,2015 World Gymnastics Championships: Japan's 'Superman' Kohei Uchimura targets 2020 homecoming,Chinese President Xi begins 4-day visit to UK amid human rights concerns,
2015-10-22,Ireland step closer to same-sex marriage,"Putin's popularity at record high, government-funded poll says",Johan Cruyff: Dutch great diagnosed with lung cancer,"1,200-year-old Viking sword discovered by hiker",Sword-wielding man kills 2 in Swedish school attack,Actor 'can't stop laughing' as Russian ambassador tweets 'terrorist' photo,,,,
2015-10-23,Did David Cameron photobomb Sergio Aguero and China's Xi Jinping selfie?,2016 Alpine Skiing World Cup: Vonn and Fenninger miss Sölden opener,Migration group: Weekly influx into Greece hits 2015 high,United States Grand Prix: 5 secrets of Mario Andretti,American pilot killed in fighter jet crash on way home from Middle East,United States Grand Prix:  Manor Marussia's Alex Rossi set for homecoming,#MyBeautifulGame: 'The weirdest day at work I've ever had',World's first gay rugby club turns 20: 'No-one had seen players like us before',"Nazi regalia, firearm and illegal fireworks confiscated in German raids","'Great tragedy': 43 die in French bus, truck crash"
2015-10-24,U.S. Grand Prix: Hurricane Patricia hits F1 qualifying,English Premier League: Jose Mourinho sent off as Chelsea loses again,Rugby World Cup 2015: All Blacks edge Springboks in semifinal,The Kansas City Royals to meet the New York Mets in the World Series,,,,,,
2015-10-25,"Turkish fishermen rescue baby: 'Brother, he is alive'",United States GP: Lewis Hamilton clinches third world title,Rugby World Cup 2015: Australia to play All Blacks in final,Manchester City returns to top of EPL after derby bore draw,Malaysian MotoGP: Valentino Rossi penalized after Sepang clash,"Tony Blair says he's sorry for Iraq War 'mistakes,' but not for ousting Saddam",,,,
2015-10-26,Rugby World Cup 2015: Nigel Owens to referee Saturday's final,Poland edges further right in election,Sheboygan Red Skins: A fading memory of the NBA's origins,Migrant crisis: Leaders agree to 17-point plan on European route,After the apocalypse: Inside the Arctic vault that could help keep humanity alive,Vladimir Putin the peacemaker? Russia's President hints at pivot in Syria,,,,
2015-10-27,Man gets 6 years after $28.5 million invoice for ammunition found on phone,"Hoffenheim: Julian Nagelsmann, 28, to coach German club next season",WTA Finals: Maria Sharapova beats Simona Halep in Singapore,"3,500-year-old treasure trove unearthed from grave of Greek warrior-king",NBA 2015-16: 10 big predictions for the new season (plus the winner),FIFA presidential election: Who is standing in February 2016?,MotoGP: Online petition fuels Valentino Rossi penalty debate,Jose Mourinho: Chelsea boss handed misconduct charge after meltdown,,
2015-10-28,Abby Wambach: Soccer great to call time on remarkable career,WTA Finals: Petra Kvitova keeps semifinal hopes alive,A stable relationship: Uncovering the secrets of the perfect equine love match,'What an incredible Cinderella story ...' 5 great golf movies and a duff one,"Above the Arctic Circle, Middle East refugees bike their way to salvation",,,,,
2015-10-29,"World Series 2015: In New York, Mets hardly the home team",EU Parliament votes to protect Edward Snowden,Rugby World Cup 2015: Brain injury warning to rugby's macho gladiators,"WTA Finals: Simona Halep eliminated, Maria Sharapova advances",Mexican Grand Prix: F1 resurrection reveals 'the real Mexico',Samuel Eto'o: 'Boko Haram atrocities make us seem powerless',,,,
2015-10-30,English soccer team is 'world's first vegan football club',Valentino Rossi launches court appeal against MotoGP penalty,Rugby World Cup 2015: New Zealand and Australia chase history in final,Jose Mourinho: What went wrong for the 'Special One' and Chelsea?,#MyBeautifulGame: Champions Chelsea's roller coaster ride,WTA Finals: Muguruza perfect; Kvitova gets help to progress,"Shaker Aamer, last UK resident held at Guantanamo Bay prison, returns home",American Pharoah: The equine 'Beatle' set for a long goodbye,22 dead as two boats sink in eastern Aegean Sea,
2015-10-31,Mexico Grand Prix 2015: Nico Rosberg claims pole for fourth straight race,WTA Finals 2015: Petra Kvitova stuns Maria Sharapova,Rugby World Cup 2015: All Blacks overcome Wallabies to make history,Jose Mourinho: Philippe Coutinho double heaps misery on Chelsea,,,,,,
2015-11-01,Mexico Grand Prix 2015: Vamos Nico! Rosberg turns tables on champion,Breeders' Cup: American Pharoah bids farewell with dominant victory,Radwanska claims WTA Finals crown; Federer edges Nadal in Basel,Thousands march to remember victims of Bucharest nightclub fire,Turkey's ruling party wins big,World Series: Kansas City Royals steal Game 4 from New York Mets,,,,
2015-11-02,Fishing line used to smuggle McDonald's into prison,"What the big win for Turkey's ruling party, Erdogan's AKP, means",Sonny Bill Williams: All Black given new winner's medal after giving first to teen,Melbourne Cup 2015: Meet the milliners crafting 'crowns for the people',,,,,,
2015-11-03,"Champions League: Real Madrid, Manchester City through to last 16","Migrant crisis reaches new high in Europe, U.N. agency says",Ministry: Police break up jihadist terror cell 'ready to attack' Madrid,French TV weatherman sacked for book questioning 'hype' over climate change,David Cameron mocked after poppy Photoshop fail,Melbourne Cup 2015: Michelle Payne tells critics to 'get stuffed',Melbourne Cup 2015: Michelle Payne becomes first female jockey to win prestigious race,,,
2015-11-04,Champions League: Bayern Munich thrashes Arsenal with five-star showing,Serena Williams: 'Superhero' on and off court?,Friend grieves for Metrojet victims whose romantic break ended in tragedy,France lifts ban on gay men as blood donors,Rory McIlroy overcomes dodgy club sandwich to shoot four-under-par,Disney 'holy grail' film 'Sleigh Bells' rediscovered,Susie Wolff: No place for women in F1 ... Yet,Andre Iguodala: NBA 'chef' cooks up championship-winning recipe,Romania's PM Victor Ponta resigns in wake of deadly Bucharest nightclub fire,
2015-11-05,Roger Federer knocked out in Paris by John Isner's power,Karim Benzema: Real Madrid star accused of blackmail in Mathieu Valbuena sex tape case,Spokesman: Vladimir Putin 'ready to meet' with Elton John,'Binge-watch' named Collins word of the year,"The European Union has relocated 147 out of 160,000 migrants so far","CNN launches CNN.gr, Greek-language digital news service",,,,
2015-11-06,English Premier League: Live,#MyBeautifulGame -- Liverpool and the 'Miracle of Istanbul',Kiron University: Open only for refugees,Anonymous' Million Mask March in London descends into violence,"France to tighten border controls before U.N. climate change meeting, official says",MotoGP Valencia finale: Rossi vs.Lorenzo -- who will be champion?,No regrets for Aussie granny over 'nudie run',Karim Benzema: Star has Real Madrid president Florentino Perez's 'full support',,
2015-11-07,Chelsea beaten again as Jose Mourinho watches from hotel,Kei Kamara: Five things you didn't know about the Columbus Crew star,HSBC Champions: Haotong Li bids to make history for China at WGC event,,,,,,,
2015-11-08,MotoGP: Lorenzo takes fifth world title as Rossi reignites Marquez feud,Neymar and Luis Suarez double act lifts Barca; Man City tops EPL,Paris Masters: Records tumble to relentless Novak Djokovic,HSBC Champions: Russell Knox wins as Haotong Li does China proud,The dangers of Obama's incrementalism,Manny Pacquiao: I want to fight Floyd Mayweather again before I retire,,,,
2015-11-09,DFB president Wolfgang Niersbach quits over World Cup bribe claims,Norway to Afghan migrants from Russia: You may get sent back to Kabul,Russia could be banned from 2016 Olympics after doping report,Puskas Award: Lionel Messi vs. David Ball for 'most beautiful goal award',Novak Djokovic: 2015 has been 'the best year of my life',Anna Kournikova: How a 'marketing monster' seduced the world,,,,
2015-11-10,Opinion: Why sport should allow doping,Russian doping scandal: WADA sets big cleanup in motion,Former West German Chancellor Helmut Schmidt dies,Police in Northern Ireland make arrest in 1972 'Bloody Sunday' killings,Rio 2016: They fled their homes. Can these refugee athletes play in the Olympics?,Russia doping scandal: 5 of the most shocking allegations,Olympic race walker: Russian doping robbed me of my gold medal,,,
2015-11-11,EU: Products from West Bank and Golan cannot be labeled 'from Israel',Vladimir Putin: 'Russia must protect its athletes',Lindsey Vonn: Back on the slopes after suffering dogfight injury,Kazuyoshi Miura: 'World's oldest footballer' signs new deal,Sepp Blatter: FIFA president recovering in hospital from 'body breakdown',"EU leaders meet in Malta on migration as refugees continue to come, die",,,,
2015-11-12,FIFA: Musa Bility out of presidential race,Marton Fulop: Former Premier League goalkeeper loses cancer battle,UK nurse discharged -- again -- having 'completely recovered from Ebola',"'I considered chemical castration,' says gay rugby referee Nigel Owens","15 arrested in European sweep against Ansar al Islam offshoot, police say",Uh-oh! Russian TV stations air secret plans by accident,Polish teacher: How many migrants must be pushed overboard for boat to float?,EU leaders offer nearly $2 billion in aid to Africa to stem migrant crisis,,
2015-11-13,"Inside the Bataclan: 'A bloodbath,' witness says",Paris reels from attacks,Football Manager guru says Dortmund fans 'like an orchestra',International sports federation votes to suspend Russia over doping scandal,Former 'Top Gear' host Jeremy Clarkson sued for racial discrimination,Exhausted F1 star Lewis Hamilton crashes car after 'heavy partying',Doping in sport: The human misery of state-sponsored doping,"8 dead babies found in German apartment, police say",FIFA and Russia scandals: World sport in crisis,
2015-11-14,Brazilian Grand Prix: Nico Rosberg continues qualifying domination,Drumbeat of terror precedes slaughter that shocks France and the world,Paris attacks: How will France respond?,Andy Murray: Splash the cash in battle against doping,"Paris terror: Despite fear, numbed residents remain defiant",Who are the Eagles of Death Metal?,France to play England at Wembley despite Paris terror attacks,Terminal at London's Gatwick Airport evacuated after 'suspicious article' found,Terror in Paris: Social media reacts,Is ISIS moving into the realm of international terrorism?
2015-11-15,Parisians united: What the attacks mean to us,Fed Cup 2015: Czech Republic defeats Russia in dramatic final,F1 Brazilian Grand Prix: Nico Rosberg edges out Lewis Hamilton,"Brussels raids: Police hit Molenbeek, area at heart of Belgium's jihadist threat",Stade de France: Grisly reminder of disaster averted,ATP World Tour Finals: Novak Djokovic honors Paris terror victims,Passport linked to terrorist complicates Syrian refugee crisis,"Paris attacks: On the day after, less 'joie de vivre'",Ronda Rousey hit with Lady Gaga criticism after Holly Holm knockout,10 killed after French high-speed train derails and crashes into canal
2015-11-16,"ISIS will 'drag you to hellfire,' Muslim leaders say","Who was Abdelhamid Abaaoud, suspected ringleader of Paris attack?","World Tour Finals: Andy Murray, Rafael Nadal victorious in openers",Wembley fans to pay tribute to Paris terror victims,Paris responds to tragedy with silent respect and defiance,Globetrotting: Saddle up for the world's greatest riding holidays,Paris attacks: What we know so far,,,
2015-11-17,"Posters, ticket stubs, memories: Music lovers reclaim beloved Bataclan","England vs. France: Over 71,000 soccer fans unite against Paris attacks",#JeSuisEnTerrasse: Parisians take back their cafes and bars,'Serious plans for explosions' cancel Netherlands-Germany soccer match,ATP World Tour Finals: Roger Federer stuns Novak Djokovic,England vs. France: How singing 'La Marseillaise' became a different war chant,8 die as migrant boat sinks off the coast of Greece,Latest developments in Paris attacks,The husband of Paris victim tells ISIS: You can't make me hate,
2015-11-18,Debunked: What social media got wrong about Paris attacks,How 'glaring' intelligence failures allowed a second bout of terror in Paris,"Hollande invokes EU treaty, hoping to build coalition against ISIS",ATP World Tour Finals: Rafael Nadal crushes Andy Murray to continue revival,Jonah Lomu: Tributes pour in as world mourns rugby's 'first global superstar',Richard Browne: From near death to dreams of taking on Usain Bolt,Paris terror raid reporter: I counted 'six or seven' explosions,Paris attacks: France fans find unity in English arms,Sania Mirza: India's trailblazer proves doubters wrong,Paris attacks at a glance: Wednesday's developments
